fold,batch,frac,seed,method,acc,subject
2,5,0.1,4,standard,70.55555555555554,S01
2,5,0.1,4,robust,74.44444444444444,S01
2,5,0.1,5,standard,71.11111111111111,S01
2,5,0.1,5,robust,73.88888888888889,S01
2,5,0.2,0,standard,66.66666666666666,S01
2,5,0.2,0,robust,73.33333333333334,S01
2,5,0.2,1,standard,65.55555555555556,S01
2,5,0.2,1,robust,75.55555555555556,S01
2,5,0.2,2,standard,65.0,S01
2,5,0.2,2,robust,73.88888888888889,S01
2,5,0.2,3,standard,66.11111111111111,S01
2,5,0.2,3,robust,73.33333333333334,S01
2,5,0.2,4,standard,65.55555555555556,S01
2,5,0.2,4,robust,73.33333333333334,S01
2,5,0.2,5,standard,67.22222222222223,S01
2,5,0.2,5,robust,73.33333333333334,S01
3,2,0.0,0,standard,86.11111111111111,S01
3,2,0.0,0,robust,86.11111111111111,S01
3,2,0.0,1,standard,86.11111111111111,S01
3,2,0.0,1,robust,86.11111111111111,S01
3,2,0.0,2,standard,86.11111111111111,S01
3,2,0.0,2,robust,86.11111111111111,S01
3,2,0.0,3,standard,86.11111111111111,S01
3,2,0.0,3,robust,86.11111111111111,S01
3,2,0.0,4,standard,86.11111111111111,S01
3,2,0.0,4,robust,86.11111111111111,S01
3,2,0.0,5,standard,86.11111111111111,S01
3,2,0.0,5,robust,86.11111111111111,S01
3,2,0.02,0,standard,86.11111111111111,S01
3,2,0.02,0,robust,86.66666666666667,S01
3,2,0.02,1,standard,86.66666666666667,S01
3,2,0.02,1,robust,86.66666666666667,S01
3,2,0.02,2,standard,88.33333333333333,S01
3,2,0.02,2,robust,86.66666666666667,S01
3,2,0.02,3,standard,87.22222222222223,S01
3,2,0.02,3,robust,86.11111111111111,S01
3,2,0.02,4,standard,87.77777777777777,S01
3,2,0.02,4,robust,86.66666666666667,S01
3,2,0.02,5,standard,86.11111111111111,S01
3,2,0.02,5,robust,86.66666666666667,S01
3,2,0.05,0,standard,86.11111111111111,S01
3,2,0.05,0,robust,86.66666666666667,S01
3,2,0.05,1,standard,87.22222222222223,S01
3,2,0.05,1,robust,87.22222222222223,S01
3,2,0.05,2,standard,88.33333333333333,S01
3,2,0.05,2,robust,86.66666666666667,S01
3,2,0.05,3,standard,87.22222222222223,S01
3,2,0.05,3,robust,86.11111111111111,S01
3,2,0.05,4,standard,86.66666666666666,S01
3,2,0.05,4,robust,87.22222222222223,S01
3,2,0.05,5,standard,86.66666666666667,S01
3,2,0.05,5,robust,86.66666666666667,S01
3,2,0.1,0,standard,87.22222222222223,S01
3,2,0.1,0,robust,87.22222222222223,S01
3,2,0.1,1,standard,85.0,S01
3,2,0.1,1,robust,86.66666666666667,S01
3,2,0.1,2,standard,87.77777777777777,S01
3,2,0.1,2,robust,87.77777777777777,S01
3,2,0.1,3,standard,87.22222222222223,S01
3,2,0.1,3,robust,86.66666666666667,S01
3,2,0.1,4,standard,86.11111111111111,S01
3,2,0.1,4,robust,87.22222222222223,S01
3,2,0.1,5,standard,88.88888888888889,S01
3,2,0.1,5,robust,87.22222222222223,S01
3,2,0.2,0,standard,82.77777777777779,S01
3,2,0.2,0,robust,87.77777777777777,S01
3,2,0.2,1,standard,82.22222222222223,S01
3,2,0.2,1,robust,87.77777777777777,S01
3,2,0.2,2,standard,83.33333333333334,S01
3,2,0.2,2,robust,87.77777777777777,S01
3,2,0.2,3,standard,82.77777777777779,S01
3,2,0.2,3,robust,87.77777777777777,S01
3,2,0.2,4,standard,83.8888888888889,S01
3,2,0.2,4,robust,87.77777777777777,S01
3,2,0.2,5,standard,84.44444444444446,S01
3,2,0.2,5,robust,87.22222222222223,S01
3,3,0.0,0,standard,87.22222222222223,S01
3,3,0.0,0,robust,87.22222222222223,S01
3,3,0.0,1,standard,87.22222222222223,S01
3,3,0.0,1,robust,87.22222222222223,S01
3,3,0.0,2,standard,87.22222222222223,S01
3,3,0.0,2,robust,87.22222222222223,S01
3,3,0.0,3,standard,87.22222222222223,S01
3,3,0.0,3,robust,87.22222222222223,S01
3,3,0.0,4,standard,87.22222222222223,S01
3,3,0.0,4,robust,87.22222222222223,S01
3,3,0.0,5,standard,87.22222222222223,S01
3,3,0.0,5,robust,87.22222222222223,S01
3,3,0.02,0,standard,85.55555555555556,S01
3,3,0.02,0,robust,87.77777777777777,S01
3,3,0.02,1,standard,86.66666666666667,S01
3,3,0.02,1,robust,86.11111111111111,S01
3,3,0.02,2,standard,86.66666666666667,S01
